league,date,time,home_team,away_team,home_goals,away_goals,result,ps_home_odds,ps_draw_odds,ps_away_odds,max_home_odds,max_draw_odds,max_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,result_1x2,is_played,is_future,source_file,league_code,league_name_pl
SP1,2023-10-08,20:00,Granada,Barcelona,2,2,D,6.83,5.19,1.45,7.5,5.47,1.45,6.99,5.13,1.41,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-08,17:30,Celta,Getafe,2,2,D,2.04,3.29,4.38,2.09,3.35,4.45,2.03,3.26,4.14,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-20,20:00,Osasuna,Granada,2,0,H,1.69,3.89,5.67,1.71,4.1,5.8,1.67,3.89,5.39,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-21,17:30,Sevilla,Real Madrid,1,1,D,4.8,4.13,1.74,4.83,4.25,1.81,4.61,4.06,1.74,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-21,20:00,Celta,Ath Madrid,0,3,A,3.43,3.55,2.23,3.79,3.62,2.25,3.45,3.48,2.14,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-21,13:00,Sociedad,Mallorca,1,0,H,1.69,3.59,6.36,1.73,3.9,7.5,1.64,3.62,6.5,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-21,15:15,Getafe,Betis,1,1,D,2.49,3.15,3.29,2.5,3.3,3.6,2.39,3.14,3.29,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-22,20:00,Barcelona,Ath Bilbao,1,0,H,1.86,3.79,4.49,1.92,4.0,4.7,1.85,3.78,4.23,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-22,15:15,Girona,Almeria,5,2,H,1.39,5.33,8.24,1.43,5.33,8.73,1.39,5.1,7.85,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-22,17:30,Villarreal,Alaves,1,1,D,2.09,3.36,4.05,2.09,3.6,4.2,2.02,3.45,3.95,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-22,13:00,Las Palmas,Vallecano,0,1,A,2.66,3.04,3.15,2.76,3.1,3.15,2.64,3.03,3.02,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-23,20:00,Valencia,Cadiz,2,0,H,1.68,3.67,6.07,1.75,3.76,6.4,1.68,3.62,5.78,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-27,20:00,Girona,Celta,1,0,H,1.75,4.12,4.63,1.77,4.32,5.07,1.72,4.09,4.6,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-28,17:30,Mallorca,Getafe,0,0,D,2.33,2.96,3.9,2.41,3.1,4.1,2.3,2.99,3.67,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-28,20:00,Cadiz,Sevilla,2,2,D,3.9,3.49,2.08,4.22,3.5,2.2,3.84,3.37,2.07,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-28,13:00,Almeria,Las Palmas,1,2,A,2.31,3.3,3.42,2.48,3.46,3.45,2.31,3.33,3.25,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-28,15:15,Barcelona,Real Madrid,1,2,A,2.58,3.49,2.83,2.7,3.68,2.84,2.59,3.53,2.7,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-29,13:00,Betis,Osasuna,2,1,H,1.99,3.47,4.21,2.07,3.6,4.62,1.99,3.43,4.03,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-29,15:15,Vallecano,Sociedad,2,2,D,3.38,3.16,2.42,3.65,3.26,2.44,3.31,3.16,2.36,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-29,17:30,Ath Bilbao,Valencia,2,2,D,1.65,3.97,5.83,1.67,4.2,6.25,1.61,3.98,5.95,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-29,20:00,Ath Madrid,Alaves,2,1,H,1.45,4.57,8.2,1.47,5.13,9.7,1.43,4.6,8.11,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-30,20:00,Granada,Villarreal,2,3,A,2.99,3.64,2.39,3.45,3.65,2.43,2.98,3.58,2.35,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-03,20:00,Las Palmas,Ath Madrid,2,1,H,5.56,3.69,1.72,6.12,4.03,1.75,5.52,3.74,1.69,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-04,20:00,Sociedad,Barcelona,0,1,A,3.38,3.29,2.33,3.74,3.49,2.35,3.33,3.36,2.26,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-04,17:30,Celta,Sevilla,1,1,D,2.41,3.41,3.13,2.49,3.46,3.2,2.4,3.39,3.03,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-04,13:00,Osasuna,Girona,2,4,A,2.99,3.31,2.56,3.06,3.5,2.63,2.91,3.33,2.51,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-04,15:15,Betis,Mallorca,2,0,H,1.9,3.45,4.68,1.91,3.5,5.25,1.88,3.39,4.63,1,True,False,SPAIN_2324.csv,ESP,Esp
