league,date,time,home_team,away_team,home_goals,away_goals,result,ps_home_odds,ps_draw_odds,ps_away_odds,max_home_odds,max_draw_odds,max_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,result_1x2,is_played,is_future,source_file,league_code,league_name_pl
P1,2023-10-30,20:15,Boavista,Sp Lisbon,0,2,A,8.77,5.15,1.38,8.77,5.2,1.45,7.71,4.96,1.38,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-03,20:15,Porto,Estoril,0,1,A,1.18,8.12,14.52,1.22,8.12,15.0,1.19,7.33,13.11,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-04,20:30,Sp Braga,Portimonense,6,1,H,1.21,7.62,13.12,1.26,7.63,13.26,1.23,6.74,11.1,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-04,18:00,Famalicao,Gil Vicente,3,1,H,2.16,3.47,3.62,2.19,3.5,3.75,2.13,3.41,3.45,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-04,15:30,Chaves,Benfica,0,2,A,10.65,6.3,1.28,10.65,6.5,1.32,9.5,5.9,1.28,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-05,15:30,Casa Pia,Vizela,0,1,A,2.25,3.28,3.59,2.25,3.51,3.59,2.17,3.32,3.44,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-05,15:30,Moreirense,Guimaraes,1,0,H,2.93,3.35,2.58,3.17,3.42,2.69,2.87,3.23,2.53,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-05,18:00,Rio Ave,Boavista,2,0,H,2.69,3.42,2.76,2.71,3.45,2.76,2.61,3.34,2.68,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-05,20:30,Sp Lisbon,Estrela,3,2,H,1.19,7.78,14.32,1.24,8.0,14.32,1.21,6.89,12.65,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-06,20:15,Farense,Arouca,2,0,H,2.41,3.36,3.18,2.41,3.38,3.18,2.36,3.29,3.02,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-10,20:15,Estoril,Casa Pia,4,0,H,2.46,3.31,3.14,2.51,3.31,3.19,2.42,3.23,3.03,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
